Nr,CLASS,GENDER,AGE,HEIGHT,SPORTS,TV,COMPUTER,SUBJECT,ALLOWANCE,WORK,PROVINCE,BREAKFAST
147,2,Girl,13,163,4,15,5,Sports,25,0,23,Yes
148,2,Girl,13,173,4,8,3,History,35,0,23,Brought something
149,2,Boy,13,164,2,7,10,Engineering,12,0,23,Yes
150,2,Girl,13,162,4,14,2,Sports,5,0,23,Yes
151,2,Girl,13,156,7,15,15,Physics & Chemisty,7,0,23,Yes
152,2,Girl,13,171,1,14,1,Sports,5,0,23,Yes
153,2,Girl,13,169,3,5,2,Biology,5,30,23,Yes
154,2,Girl,13,169,6,4,2,Biology,7,0,23,Yes
155,2,Boy,13,172,1,12,12,Sports,5,0,23,Yes
156,2,Boy,13,163,6,7,14,Sports,50,0,23,Yes
157,2,Boy,13,170,3,15,2,Biology,7,0,23,Yes
158,2,Boy,13,165,4,6,14,History,20,20,23,Yes
159,2,Boy,13,192,3,15,17,Sports,5,0,23,Yes
160,2,Boy,13,176,4,15,5,German,25,0,23,Yes
161,2,Boy,13,176,3,4,8,Sports,8,0,23,Yes
162,2,Boy,14,170,10,20,14,Sports,20,0,23,Yes
163,2,Girl,13,159,1,6,1,Biology,5,0,23,No
164,2,Boy,11,174,0,15,2,Physics & Chemisty,12,0,23,Yes
165,2,Boy,14,188,2,2,5,History,25,0,23,Yes
166,2,Boy,13,174,4,15,10,Sports,10,0,23,Yes
167,2,Boy,13,175,3,15,1,Physics & Chemisty,8,0,23,Brought something
168,2,Girl,13,175,3,6,1,Art,5,0,23,Yes
169,2,Boy,12,167,2,3,5,History,5,0,23,Yes
170,2,Girl,14,165,4,4,4,Biology,13,0,23,Yes
171,2,Girl,13,168,0,15,18,Biology,7,0,23,Yes
172,2,Boy,13,176,15,14,8,Sports,10,0,23,Yes
173,2,Girl,13,160,2,14,1,Sports,7,0,23,Yes
174,2,Boy,12,172,12,4,1,Economics,10,0,23,Yes
175,2,Girl,13,168,2,14,2,Sports,7,0,23,Yes
176,2,Girl,14,166,0,14,14,Sports,13,0,23,No
177,2,Girl,13,175,5,8,2,Biology,8,0,23,Yes
178,2,Boy,13,165,3,17,7,Other,8,0,23,Brought something
179,2,Girl,14,162,3,3,2,Sports,15,0,23,Yes
180,2,Girl,13,160,14,10,5,Economics,0,0,23,Yes
181,2,Boy,13,176,5,28,5,German,6,0,23,Yes
182,2,Boy,13,165,0,10,20,Biology,10,0,23,Yes
183,2,Girl,13,162,6,8,3,Sports,10,0,23,Yes
184,2,Girl,13,175,5,35,0,Sports,8,0,23,Yes
185,2,Girl,13,162,1,2,2,French language,15,0,23,Yes
186,2,Boy,10,156,12,22,23,French language,5,0,23,Yes
187,2,Girl,13,168,2,35,0,History,10,20,23,Yes
188,2,Boy,13,175,7,70,30,History,25,30,23,Yes
189,2,Boy,14,165,6,9,4,Sports,10,0,23,Yes
190,2,Girl,13,165,3,50,70,English language,7,0,23,Yes
191,2,Girl,13,175,2,35,7,Sports,10,0,23,Yes
192,2,Boy,13,183,4,7,7,Sports,10,0,23,Yes
193,2,Girl,13,161,2,10,0,Art,12,0,23,Yes
194,2,Boy,13,173,7,10,15,Sports,6,0,23,Brought something
195,2,Girl,13,165,4,20,0,Sports,8,0,23,Yes
196,2,Girl,13,167,1,18,20,Engineering,0,0,23,Yes
197,2,Boy,13,173,4,3,9,Sports,8,0,23,Yes
198,2,Boy,13,155,2,5,1,Sports,5,0,23,Yes
199,2,Girl,13,167,3,20,2,Engineering,10,0,23,No
200,2,Boy,13,165,6,15,20,Physics & Chemisty,5,0,23,Yes
201,2,Boy,13,160,1,25,0,History,5,0,23,Yes
202,2,Boy,12,165,4,10,7,Sports,10,6,23,Yes
203,2,Girl,13,162,0,4,0,History,0,0,23,Yes
204,2,Boy,13,168,3,5,1,Computer Science,5,0,23,Yes
205,2,Girl,13,159,1,6,1,Music,7,0,23,Brought something
206,2,Girl,13,169,7,10,6,Economics,15,0,23,Yes
207,2,Girl,13,169,5,4,0,Sports,3,0,23,Brought something
208,2,Girl,13,164,4,15,2,Sports,6,0,23,Yes
209,2,Boy,13,175,4,25,20,Sports,5,10,23,No
210,2,Boy,13,187,4,1,30,Mathematics,7,0,23,Yes
211,2,Boy,13,162,3,3,2,Economics,10,0,23,Yes
212,2,Boy,13,172,4,25,25,Biology,5,0,23,Yes
213,2,Boy,13,170,8,8,50,Sports,10,47,23,Yes
214,2,Boy,13,159,2,7,9,English language,5,0,23,Yes
215,2,Girl,13,165,4,21,7,German,5,125,23,Yes
216,2,Boy,13,173,2,2,2,Geography,10,0,23,Yes
217,2,Boy,13,163,3,4,1,Biology,10,0,23,Yes
218,2,Boy,13,173,6,4,2,Sports,3,0,23,Yes
219,2,Girl,12,150,0,21,3,German,10,0,23,Yes
220,2,Boy,12,155,2,1,12,Computer Science,4,0,23,Yes
221,2,Girl,12,151,0,10,0,English language,8,0,23,Yes
